place_id,6.9.2020,formatted_address,name
ChIJc2LKSq8sDogRBVCFK_YO7no,CLOSED_TEMPORARILY,"225 Michigan Ave, Chicago, IL 60601, USA",Bright Horizons Chicago East Loop
ChIJf1xHF0nTD4gRU1l8PJOvwpk,OPERATIONAL,"300 W Hill St, Chicago, IL 60610, USA",Bright Horizons at the Atrium - Closed
ChIJQ8wHUOssDogR9_IJrtYvRpA,OPERATIONAL,"801 S Canal St, Chicago, IL 60607, USA",Bright Horizons
ChIJUbDzVB3JxokRu4L34S4EJxg,OPERATIONAL,"1 Campbell Pl, Camden, NJ 08103, USA",Bright Horizons
ChIJdcguxQt7bIcR3zu35OY36Uc,OPERATIONAL,"9200 E 40th Ave, Denver, CO 80238, USA",New Horizon Academy
ChIJs4CzSeq3t4kR_NH7N91uh2A,OPERATIONAL,"1776 F St NW, Washington, DC 20429, USA",Bright Horizons FDIC
ChIJM4z1SlwE9YgRwTfcNbk8PEs,CLOSED_TEMPORARILY,"1066 Spring St NW, Atlanta, GA 30309, USA",Turner Second Generation
ChIJ40_D64oE9YgRD8XYOj7QKrU,OPERATIONAL,"North Ave NW, Atlanta, GA 30332, USA",Georgia Institute of Technology
ChIJq6qqqppjbIcRdCUDL78fnBc,CLOSED_PERMANENTLY,"Aurora, CO 80011, USA",Bright Horizons
ChIJ3bNazM0pMYgRJYrDlp8ujag,CLOSED_PERMANENTLY,"475 Ohio St, Akron, OH 44304, USA",Bright Horizons
ChIJa0Y2Zo4HkoARhM_ODsBgE1g,CLOSED_PERMANENTLY,"1494 Schilling Pl, Salinas, CA 93901, USA",Bright Horizons Child Center Inc
ChIJdaK7j2OAhYARx9WiGHeSjCg,OPERATIONAL,"77 Beale St, San Francisco, CA 94105, USA",Pacific Gas Children's Center
ChIJ2UAfDM85dYgRptx7ED8DDLg,CLOSED_PERMANENTLY,"101 W Jefferson St, Springfield, IL 62702, USA",Bright Horizons
ChIJufvRVGO2w4kRUd8a9gv6X4w,OPERATIONAL,"200 S Wood Ave, Iselin, NJ 08830, USA",Bright Horizons at Metropark - Closed
ChIJszkP38tqkFQRUnVoLaAhuAc,OPERATIONAL,"1414 Spring St, Seattle, WA 98104, USA",Bright Horizons
ChIJC7Waj2JskFQR341Vq1hI46U,CLOSED_TEMPORARILY,"355 110th Ave NE Bldg A, Suite P100, Bellevue, WA 98004, USA",Bright Horizons at The Summit
ChIJ08QtzMJskFQRbpfQXQRGSR8,CLOSED_TEMPORARILY,"3003 Northup Way, Bellevue, WA 98004, USA",Bright Horizons West Campus
ChIJg4RKTtgVkFQRaoqxbSGpxBU,OPERATIONAL,"1401 NW 46th Street Third Floor, Seattle, WA 98107, USA",Bright Horizons at Ballard Blocks
ChIJI9aWMQDBt4kROrEA4-0iixs,CLOSED_TEMPORARILY,"5000 Ellin Rd, New Carrollton, MD 20784, USA",IRS Bright Horizons
ChIJnyWDyIvlwIcRVibuJSSnyZQ,OPERATIONAL,"2316 E Meyer Blvd, Kansas City, MO 64132, USA",Bright Horizons at Research Medical Center
ChIJBxJOTaRYwokR9vdySH9mXvA,CLOSED_TEMPORARILY,"245 E 92nd St, New York, NY 10128, USA",Bright Horizons at East 92nd
ChIJAQAAAHBLrlQRGyzGs5014Cs,OPERATIONAL,"Nampa, ID 83651, USA",Bright Horizons Learning Center
ChIJTw24iUpK3YARS_0wLiUJNxg,OPERATIONAL,"26945 Rolling Hills Rd, Rolling Hills Estates, CA 90274, USA",New Horizons Child Development Center
ChIJd9uMkXjWw4kR3EvP7h5hsA0,OPERATIONAL,"901 W Main St, Freehold, NJ 07728, USA",Bright Horizons
